Title,Link
Almost anything you give sustained attention to will begin to loop on itself(henrikkarlsson.xyz),https://www.henrikkarlsson.xyz/p/attention
Le Chat. Custom MCP Connectors. Memories(mistral.ai),https://mistral.ai/news/le-chat-mcp-connectors-memories
30 minutes with a stranger(pudding.cool),https://pudding.cool/2025/06/hello-stranger/
Inverting the Xorshift128 random number generator(littlemaninmyhead.wordpress.com),https://littlemaninmyhead.wordpress.com/2025/08/31/inverting-the-xorshift128-random-number-generator/
Use Bayes rule to mechanically solve probability riddles(disroot.org),https://cloud.disroot.org/s/Ec4xTMFDteTrFio
How to build vector tiles from scratch(debuisne.com),https://www.debuisne.com/writing/geo-tiles/
"The Browser Company (Arc, Dia) Has Been Acquired by Atlassian(atlassian.com)",https://www.atlassian.com/blog/announcements/atlassian-acquires-the-browser-company
We Found the Hidden Cost of Data Centers. It's in Your Electric Bill [video](youtube.com),https://www.youtube.com/watch?v=YN6BEUA4jNU
Electromechanical Reshaping Offers Safer Eye Surgery(ieee.org),https://spectrum.ieee.org/electrochemistry-for-eye-surgeries
The Color of the Future: A history of blue(hopefulmons.com),https://www.hopefulmons.com/p/the-color-of-the-future
The company behind the Dia and Arc browsers is being acquired(theverge.com),https://www.theverge.com/web/770947/browser-company-arc-dia-acquired-atlassian
Polars Cloud and Distributed Polars now available(pola.rs),https://pola.rs/posts/polars-cloud-launch/
Polycyclic Aromatic Hydrocarbons(johncarlosbaez.wordpress.com),https://johncarlosbaez.wordpress.com/2025/09/01/polycyclic-aromatic-hydrocarbons/
Claude Code: Now in Beta in Zed(zed.dev),https://zed.dev/blog/claude-code-via-acp
Étoilé – desktop built on GNUStep(etoileos.com),http://etoileos.com/
Neovim Pack(neovim.io),https://neovim.io/doc/user/pack.html#vim.pack
Show HN: A roguelike game that runs inside Notepad++(github.com/thelowsunoverthemoon),https://github.com/thelowsunoverthemoon/NeuroPriest
Minesweeper thermodynamics(oscarcunningham.com),https://oscarcunningham.com/792/minesweeper-thermodynamics/
Reverse engineering Solos smart glasses(jfloren.net),https://jfloren.net/b/2025/8/28/0
The Bitter Lesson Is Misunderstood(obviouslywrong.substack.com),https://obviouslywrong.substack.com/p/the-bitter-lesson-is-misunderstood
AR Fluid Simulation Demo(danybittel.ch),https://danybittel.ch/fluid
Nuclear: Desktop music player focused on streaming from free sources(github.com/nukeop),https://github.com/nukeop/nuclear
Say Bye with JavaScript Beacon(hemath.dev),https://hemath.dev/blog/say-bye-with-javascript-beacon/
Hledger 1.50(github.com/simonmichael),https://github.com/simonmichael/hledger/releases/tag/1.50
I Should Have Loved Electrical Engineering(tdhttt.com),https://blog.tdhttt.com/post/love-ee/
Melvyn Bragg steps down from presenting In Our Time(bbc.co.uk),https://www.bbc.co.uk/mediacentre/2025/melvyn-bragg-decides-to-step-down-from-presenting-in-our-time/
Understanding Transformers Using a Minimal Example(rti.github.io),https://rti.github.io/gptvis/
Writing a C compiler in 500 lines of Python (2023)(vgel.me),https://vgel.me/posts/c500/
New knot theory discovery overturns long-held mathematical assumption(scientificamerican.com),https://www.scientificamerican.com/article/new-knot-theory-discovery-overturns-long-held-mathematical-assumption/
Google was down in eastern EU and Turkey(novinite.com),https://www.novinite.com/articles/234225/Google+Down+in+Eastern+Europe+%28UPDATED%29
